ID,Data Center,App,Entry Time,WAN Duration
1,DC1,SES,1510599138831,384
10,DC1,SES,1510599138865,351
6,DC1,SES,1510599138851,369
7,DC1,SES,1510599138855,368
22,DC1,SES,1510599138885,339
15,DC1,SES,1510599138873,352
16,DC1,SES,1510599138874,351
34,DC1,SES,1510599138901,325
27,DC1,SES,1510599138891,336
28,DC1,SES,1510599138892,335
46,DC1,SES,1510599138916,312
39,DC1,SES,1510599138907,321
41,DC1,SES,1510599138910,318
58,DC1,SES,1510599138934,295
40,DC1,SES,1510599138908,322
53,DC1,SES,1510599138926,304
52,DC1,SES,1510599138925,306
65,DC1,SES,1510599138942,289
71,DC1,SES,1510599138949,283
64,DC1,SES,1510599138941,292
77,DC1,SES,1510599138955,279
83,DC1,SES,1510599138962,272
76,DC1,SES,1510599138954,281
89,DC1,SES,1510599138968,267
95,DC1,SES,1510599138974,262
88,DC1,SES,1510599138967,269
90,DC1,SES,1510599138969,267
100,DC1,SES,1510599138978,259
105,DC1,SES,1510599138983,254
106,DC1,SES,1510599138984,254
112,DC1,SES,1510599138988,250
117,DC1,SES,1510599138993,245
118,DC1,SES,1510599138993,246
124,DC1,SES,1510599138999,240
129,DC1,SES,1510599139004,236
131,DC1,SES,1510599139005,235
136,DC1,SES,1510599139009,232
130,DC1,SES,1510599139005,236
143,DC1,SES,1510599139016,226
148,DC1,SES,1510599139020,223
142,DC1,SES,1510599139015,228
155,DC1,SES,1510599139025,219
161,DC1,SES,1510599139030,214
154,DC1,SES,1510599139024,220
167,DC1,SES,1510599139034,211
173,DC1,SES,1510599139039,206
166,DC1,SES,1510599139034,212
179,DC1,SES,1510599139044,202
178,DC1,SES,1510599139043,204
180,DC1,SES,1510599139045,202
185,DC1,SES,1510599139051,196
191,DC1,SES,1510599139056,192
192,DC1,SES,1510599139057,191
197,DC1,SES,1510599139062,186
201,DC1,SES,1510599139065,184
202,DC1,SES,1510599139066,183
207,DC1,SES,1510599139070,180
213,DC1,SES,1510599139074,176
214,DC1,SES,1510599139075,175
219,DC1,SES,1510599139079,172
225,DC1,SES,1510599139083,168
226,DC1,SES,1510599139084,168
220,DC1,SES,1510599139080,172
237,DC1,SES,1510599139093,160
238,DC1,SES,1510599139094,159
232,DC1,SES,1510599139089,165
244,DC1,SES,1510599139099,155
249,DC1,SES,1510599139103,152
251,DC1,SES,1510599139104,151
256,DC1,SES,1510599139108,148
250,DC1,SES,1510599139103,153
263,DC1,SES,1510599139114,142
268,DC1,SES,1510599139117,140
262,DC1,SES,1510599139113,144
275,DC1,SES,1510599139122,136
281,DC1,SES,1510599139126,132
274,DC1,SES,1510599139121,137
287,DC1,SES,1510599139130,129
293,DC1,SES,1510599139134,125
286,DC1,SES,1510599139129,131
299,DC1,SES,1510599139137,123
303,DC1,SES,1510599139140,121
298,DC1,SES,1510599139137,124
